index,raw,uic,lat,lon,entries
332,Bourg-en-Bresse,87743005,46.200351,5.215063,bourg en bresse
333,Bourg-Madame,87784876,42.4324069,1.9486704,bourg madame
334,Bourg-Saint-Maurice,87741793,45.619036,6.771273,bourg saint maurice
335,Bourges,87576207,47.094145,2.394255,bourges
336,Bourgneuf-en-Retz,87481242,47.0469634,-1.9551942,bourgneuf en retz
337,Bourgoin-Jallieu,87723429,45.583954,5.273401,bourgoin jallieu
338,Bourgtheroulde - Thuit-Hébert,87415323,49.3174381,0.8383198,bourgtheroulde thuit hebert
339,Bournezeau,87486324,46.6518258,-1.1806169,bournezeau
341,Boussay - La Bruffière,87481176,47.0505741,-1.1828046,boussay la bruffiere
342,Boussens,87611095,43.179617,0.972543,boussens
344,Bouthéon,87726216,45.5246289,4.2777187,boutheon
346,Boves,87313213,49.8462355,2.3981165,boves
347,Bram,87615054,43.2441014,2.1191467,bram
348,Brandérion,87476242,47.7823179,-3.1940402,branderion
349,Brassac-les-Mines - Sainte-Florine,87734244,45.414246,3.330167,brassac les mines sainte florine
350,Brax - Léguevin,87611822,43.614887,1.236922,brax leguevin
351,Brazey-en-Plaine,87713644,47.1314549,5.2121276,brazey en plaine
352,Bréauté - Beuzeville,87413344,49.603396,0.417489,breaute beuzeville
353,Brebières,87345108,50.33624,3.0142,brebieres
354,Breitenbach,87182659,48.0285326,7.1040522,breitenbach
355,Brélidy - Plouëc,87473827,48.669204,-3.196269,brelidy plouec
356,Bressuire,87487249,46.8384462,-0.4963269,bressuire
357,Brest,87474007,48.38811,-4.478903,brest
358,Breteil,87471102,48.1405713,-1.8972095,breteil
359,Bretenoux - Biars,87594762,44.9273692,1.8436871,bretenoux biars
360,Breteuil,87313247,49.626389,2.3845164,breteuil
361,Bretigny - Norges,87712265,47.390044,5.1105838,bretigny norges
363,Bretoncelles,87394270,48.4326737,0.8923825,bretoncelles
364,Bretteville - Norrey,87444042,49.2034112,-0.5127396,bretteville norrey
365,Breuil - Romain,87171322,49.3084141,3.7665322,breuil romain
