station,commune
bretteville norrey,saint manvieu norrey
brettnach,brettnach
breuil romain,breuil sur vesle
breuil le sec,breuil le sec
breuillet bruyeres le chatel,breuillet
breuillet village,breuillet
breuilpont,breuilpont
breuvannes,breuvannes en bassigny
brevonnes,brevonnes
briancon,briancon
briare,briare
brias,brias
briaucourt,briaucourt
bricon,bricon
briconville,clevilliers
bricy boulay,bricy
brienne le chateau,brienne le chateau
brienon,brienon sur armancon
brieulles sur meuse,brieulles sur meuse
brignac,royeres
brignais,brignais
brignoles,brignoles
brignoud,villard bonnot
brimeux,brimeux
brinay,brinay
brion jumelles,les bois d anjou
brion laizy,laizy
brion montral la cluse,brion
brion pres thouet,brion pres thouet
brion sur ource,brion sur ource
brionne,brionne
brioude,brioude
briouze,briouze
brison st innocent,brison saint innocent
brive la gaillarde,brive la gaillarde
brives charensac,brives charensac
brives cherac,brives sur charente
brombos sarcus,brombos
broons,broons
brou,brou
brouilla,ortaffa
brousseval,brousseval
brouvelieures,brouvelieures
brouviller lixheim,brouviller
broye,saint symphorien de marmagne
bruailles,bruailles
bruay en artois,ruitz
bruges,bruges
brulange,brulange
brumath,brumath
brunoy,brunoy
brunstatt,brunstatt didenheim
brunemont,brunemont
bruyeres,bruyeres
bruyeres sur oise,bruyeres sur oise
bruz,bruz
bry sur marne,bry sur marne
breaute beuzeville,breaute
brecy,saint andre en terre plaine
brelidy plouec,plouec du trieux
bretigny,bretigny sur orge
breval,breval
breviandes,breviandes
breze st cyr en bourg,bellevigne les chateaux
bucheres verrieres,bucheres
bucy les pierrepont,bucy les pierrepont
budeliere chambon,budeliere
bueil,bueil
bugeat,bugeat
buglose,saint vincent de paul
buire,buire
buire sur l ancre,buire sur l ancre
bulligny crezilles,bulligny
bully grenay,grenay
buno gironville,buno bonnevaux
bures en bray,bures en bray
burnhaupt,burnhaupt le haut
busigny,busigny
bussac,bussac foret
busseau sur creuse,ahun
bussiere galant,bussiere galant
bussy lettree vatry,bussy lettree
bussy varache,eymoutiers
buzancais,buzancais
buzy meuse,buzy darmont
buzy en bearn,buzy
byans,byans sur doubs
begles,begles
beze,beze
beard,beard
becon les bruyeres,courbevoie
bedarieux,bedarieux
bedarrides,bedarrides
bena fanes,enveitg
benesse maremne,benesse maremne
benestroff,benestroff
bening,bening les saint avold
betaille,betaille
betheniville,betheniville
bethisy st pierre,bethisy saint pierre
bethune,bethune
bethune rivage,bethune
beziers,beziers
bezu st eloi,bezu saint eloi
cabessut,cahors
cadaujac,cadaujac
cadenet,cadenet
caen,caen
caffiers,caffiers
cagnes sur mer,cagnes sur mer
cahon,cahon
cahors,cahors
cahuzac,cahuzac sur vere
cajarc,cajarc
calais frethun,frethun
calais maree,calais
calais ville,calais
caldaniccia,sarrola carcopino
caligny,caligny
calissanne,lancon provence
callac,callac
calonne ricouart,calonne ricouart
caluire,caluire et cuire
calvi,calvi
cambo les bains,cambo les bains
cambrai,cambrai
cambrai annexe,cambrai
cambrai porte de selles,cambrai
cambron laviers,cambron
cametours,cametours
campagnac st geniez,saint saturnin de lenne
campagnan,campagnan
campagne,campagne sur aude
campbon,campbon
campo dell oro,ajaccio
canabols,la loubiere
canaples,canaples
canapville st martin,saint martin aux chartrains
cande,vallons de l erdre
canet,nebian
canisy,canisy
canly grand fresnoy,canly
cannes,cannes
cannes marchandises,cannes
cannes la bocca,cannes
cantaous tuzaguet,cantaous
cantin,cantin
cany,cany barville
cap martin roquebrune,roquebrune cap martin
cap d ail,cap d ail
capdenac,capdenac gare
capendu,capendu
capestang,montady
cappelle huquinville,templeuve en pevele
capvern,capvern
carantilly marigny,carantilly
carbonne,carbonne
carbuccia,carbuccia
carcassonne,carcassonne
carentan,carentan les marais
carhaix,carhaix plouguer
carignan,carignan
carling,carling
carly,carly
carmaux,carmaux
carnoles,roquebrune cap martin
carnoules,carnoules
carnoet locarn,locarn
caronte la gafette,martigues
carpentras,carpentras
carpiquet,carpiquet
carquefou,carquefou
carry le rouet,carry le rouet
carteret,barneville carteret
cartigny,cartigny
carvin,carvin
casamozza,lucciana
casatorra,biguglia
cases de pene,espira de l agly
casino lacroix laval,la tour de salvagny
cassel,oxelaere
cassis,cassis
casson,casson
casteljaloux,casteljaloux
castelnau riviere basse,castelnau riviere basse
castelnau d estretefonds,castelnau d estretefonds
castelnaud fayrac,castelnaud la chapelle
castelnaudary,castelnaudary
castelsarrasin,castelsarrasin
castex lectourois,castera lectourois
castillon,castillon la bataille
castres,castres
catenoy,catenoy
cattenieres,cattenieres
caudebec en caux marchandises,rives en seine
caudies,caudies de fenouilledes
caudos,mios
caudrot,caudrot
caudry,caudry
cauderan merignac,bordeaux
caulnes,caulnes
caussade,caussade
caussade hautes pyrenees,caussade riviere
cavaillon,cavaillon
cavaillon min,cavaillon
cavignac,cavignac
cazoules,pechs de l esperance
cazouls les beziers,cazouls les beziers
cazeres sur garonne,cazeres
cazeres sur l adour,cazeres sur l adour
ceauce,ceauce
ceaux d allegre,ceaux d allegre
ceilhes roqueredonde,roqueredonde
ceintrey,ceintrey
celles sur durolle,celles sur durolle
celon,celon
celsoy plesnoy,plesnoy
cenon,cenon
cenon halte,cenon
centre henri lang,paris
centron,aime la plagne
ceppe,biguglia
cerbere,cerbere
cercie,cercie
cercottes,cercottes
cercy la tour,cercy la tour
cerdon du loiret,cerdon
cergy prefecture,cergy
cergy st christophe,cergy
cergy le haut,cergy
cerisi belle etoile,cerisy belle etoile
cerizay,cerizay
cernay,ermont
cernay,cernay
certilleux,certilleux
cessieu,cessieu
cesson,cesson
cesson sevigne,cesson sevigne
cessy,cessy
cevins,la bathie
cevins,cevins
ceyzeriat,ceyzeriat
chabanais,chabanais
chabenet,le pont chretien chabenet
chabreloche,chabreloche
chabris,chabris
chace varrains,bellevigne les chateaux
chagny,chagny
chahaignes,chahaignes
chaillevette,chaillevette
chailly boissy le chatel,chailly en brie
chailvet urcel,royaucourt et chailvet
chaingy fourneaux plage,chaingy
chalais,chalais
chalampe,chalampe
chalandray,chalandray
chaligny neuves maisons,neuves maisons
challans,challans
challerange,challerange
chalon sur saone,chalon sur saone
chalonnes,chalonnes sur loire
chalus,chalus
chamalieres sur loire,chamalieres sur loire
chamarande,chamarande
chamblet,chamblet
chambley,chambley bussieres
chambly,chambly
chambon,chambon
chamborigaud,chamborigaud
chambourg,chambourg sur indre
chambray fontaine sous jouy,hardencourt cocherel
chambretaud,chanverrie
chambery challes les eaux,chambery
chambery poste bois,la ravoire
chamelet,chamelet
chamonix aiguille du midi,chamonix mont blanc
chamonix mont blanc,chamonix mont blanc
chamousset,chamousset
chamoy st phal,saint phal
champ st pere,le champ saint pere
champ de courses d enghien,soisy sous montmorency
champ de mars tour eiffel,paris
champ du chene,ronchin
champagnac,champagnac la riviere
champagnac les mines,ydes
champagne ardenne tgv,bezannes
champagne sur oise,champagne sur oise
champagne sur seine,champagne sur seine
champagne sur vingeanne,champagne sur vingeanne
champagney,champagney
champagnole,champagnole
champagne,champagne
champbenoist poigny,poigny
champdeniers st christophe,saint christophe sur roc
champdieu,champdieu
champdotre pont,les maillys
champfleur,champfleur
champfleury,chindrieux
champigneulles,champigneulles
champigny,saint maur des fosses
champigny sur yonne,champigny
champlan,champlan
champlitte,champlitte
champs st bris,champs sur yonne
champsac,champsac
champsiaux,la meyze
champtercier,digne les bains
