source_uic,target_uic,weight_minutes,source_name,target_name
87144071,87144063,3.104,Châtel-Nomexy,Vincey
87144071,87144089,2.3,Châtel-Nomexy,Igney
87144089,87144071,2.3,Igney,Châtel-Nomexy
87144089,87144097,1.751,Igney,Thaon
87144097,87144006,4.19,Thaon,Épinal
87144097,87144089,1.751,Thaon,Igney
87144105,87144329,2.181,Raves-Ban-de-Laveline,Lesseux-Frapelle
87144121,87144006,10.114,Xertigny,Épinal
87144121,87144147,5.82,Xertigny,Bains-les-Bains
87144147,87144121,5.82,Bains-les-Bains,Xertigny
87144147,87185629,7.659,Bains-les-Bains,Aillevillers
87144154,87144048,3.017,Bruyères,Lépanges
87144154,87144162,2.143,Bruyères,Laveline-devant-Bruyères
87144162,87144154,2.143,Laveline-devant-Bruyères,Bruyères
87144162,87144188,2.678,Laveline-devant-Bruyères,Biffontaine
87144188,87144162,2.678,Biffontaine,Laveline-devant-Bruyères
87144188,87144196,3.115,Biffontaine,Corcieux-Vanémont
87144196,87144188,3.115,Corcieux-Vanémont,Biffontaine
87144204,87141648,6.161,Poussay,Diarville
87144204,87144212,1.531,Poussay,Mirecourt
87144212,87144204,1.531,Mirecourt,Poussay
87144212,87144220,2.037,Mirecourt,Hymont-Mattaincourt
87144220,87144212,2.037,Hymont-Mattaincourt,Mirecourt
87144220,87144279,10.44,Hymont-Mattaincourt,Vittel
87144279,87144220,10.44,Vittel,Hymont-Mattaincourt
87144279,87144287,2.936,Vittel,Contrexéville
87144287,87144279,2.936,Contrexéville,Vittel
87144287,87144295,5.296,Contrexéville,Martigny-les-Bains
87144295,87144287,5.296,Martigny-les-Bains,Contrexéville
87144295,87144303,3.103,Martigny-les-Bains,Lamarche
87144303,87144295,3.103,Lamarche,Martigny-les-Bains
87144303,87144311,3.193,Lamarche,Rozières-sur-Mouzon
87144311,87142497,2.79,Rozières-sur-Mouzon,Damblain
87144311,87144303,3.193,Rozières-sur-Mouzon,Lamarche
87144329,87144105,2.181,Lesseux-Frapelle,Raves-Ban-de-Laveline
87144329,87144345,1.0,Lesseux-Frapelle,Provenchères-sur-Fave
87144345,87144329,1.0,Provenchères-sur-Fave,Lesseux-Frapelle
87144345,87144386,2.131,Provenchères-sur-Fave,Colroy-Lubine
87144386,87144345,2.131,Colroy-Lubine,Provenchères-sur-Fave
87144386,87214783,4.089,Colroy-Lubine,Saales
87144410,87144428,1.821,Arches,Pouxeux
87144428,87144410,1.821,Pouxeux,Arches
87144428,87144436,1.868,Pouxeux,Éloyes
87144436,87144428,1.868,Éloyes,Pouxeux
87144436,87146217,2.789,Éloyes,St-Nabord
87144451,87146217,2.133,Remiremont,St-Nabord
87144626,87141432,1.248,Raon-l'Étape,Thiaville
87144626,87144642,2.943,Raon-l'Étape,Étival-Clairefontaine
87144642,87144626,2.943,Étival-Clairefontaine,Raon-l'Étape
87144642,87144683,2.53,Étival-Clairefontaine,St-Michel-sur-Meurthe
87144683,87144014,3.785,St-Michel-sur-Meurthe,St-Dié-des-Vosges
87144683,87144642,2.53,St-Michel-sur-Meurthe,Étival-Clairefontaine
87146217,87144436,2.789,St-Nabord,Éloyes
87146217,87144451,2.133,St-Nabord,Remiremont
87147322,87142109,17.0,Meuse-TGV,Lorraine-Louvigny-TGV
87147322,87171926,23.0,Meuse-TGV,Champagne-Ardenne-TGV
87159947,87471037,1.033,Ker-Lann,Bruz
87159947,87471052,1.799,Ker-Lann,St-Jacques-de-la-Lande
87164780,87164798,17.265,Stade-de-France-St-Denis,La Plaine-Stade-de-France
87164780,87271015,1.064,Stade-de-France-St-Denis,St-Denis
87164780,87271023,2.28,Stade-de-France-St-Denis,Paris-Nord-Souterraine
87164798,87164780,17.265,La Plaine-Stade-de-France,Stade-de-France-St-Denis
87164798,87271015,35.238,La Plaine-Stade-de-France,St-Denis
87164798,87271304,1.0,La Plaine-Stade-de-France,La Courneuve-Aubervilliers
87171009,87171272,43.66,Reims,Reims-Maison-Blanche
87171009,87171298,5.732,Reims,Muizon
87171009,87171462,9.0,Reims,Bazancourt
87171009,87417444,32.587,Reims,Franchet-d'Esperey
87171272,87171009,43.66,Reims-Maison-Blanche,Reims
87171272,87171595,4.258,Reims-Maison-Blanche,Rilly-la-Montagne
87171272,87417444,1.0,Reims-Maison-Blanche,Franchet-d'Esperey
87171298,87171009,5.732,Muizon,Reims
87171298,87171314,3.057,Muizon,Jonchery-sur-Vesle
87171314,87171298,3.057,Jonchery-sur-Vesle,Muizon
87171314,87171322,2.384,Jonchery-sur-Vesle,Breuil-Romain
87171322,87171314,2.384,Breuil-Romain,Jonchery-sur-Vesle
87171322,87400986,1.343,Breuil-Romain,Magneux-Courlandon
87171330,87171348,2.691,Fismes,Bazoches
87171330,87400986,2.037,Fismes,Magneux-Courlandon
87171348,87171330,2.691,Bazoches,Fismes
87171355,87171371,6.301,Mont-Notre-Dame,Fère-en-Tardenois
87171371,87116699,6.363,Fère-en-Tardenois,Oulchy-Breny
87171371,87171355,6.301,Fère-en-Tardenois,Mont-Notre-Dame
87171462,87171009,9.209,Bazancourt,Reims
87171462,87172270,11.0,Bazancourt,Rethel
87171512,87116582,11.0,Dormans,Château-Thierry
87171512,87171553,12.0,Dormans,Epernay
87171553,87171512,12.0,Epernay,Dormans
87171553,87174003,14.0,Epernay,Châlons-en-Champagne
87171561,87171579,2.04,Ay,Avenay
87171579,87171561,2.04,Avenay,Ay
87171579,87171587,4.263,Avenay,Germaine
87171587,87171579,4.263,Germaine,Avenay
87171587,87171595,2.452,Germaine,Rilly-la-Montagne
87171595,87171272,4.258,Rilly-la-Montagne,Reims-Maison-Blanche
87171595,87171587,2.452,Rilly-la-Montagne,Germaine
87171611,87171629,1.975,Val-de-Vesle,Prunay
87171611,87171645,2.145,Val-de-Vesle,Sept-Saulx
87171629,87171611,1.975,Prunay,Val-de-Vesle
87171645,87171611,2.145,Sept-Saulx,Val-de-Vesle
87171645,87174409,3.048,Sept-Saulx,Mourmelon-le-Petit
87171702,87171728,3.794,Aguilcourt-Variscourt,Loivre
87171702,87171736,1.688,Aguilcourt-Variscourt,Guignicourt
87171710,87171728,1.515,Courcy-Brimont,Loivre
87171728,87171702,3.794,Loivre,Aguilcourt-Variscourt
87171728,87171710,1.515,Loivre,Courcy-Brimont
87171736,87171702,1.688,Guignicourt,Aguilcourt-Variscourt
87171736,87171744,3.641,Guignicourt,Amifontaine
87171744,87171736,3.641,Amifontaine,Guignicourt
87171744,87171751,3.357,Amifontaine,St-Erme
87171751,87171744,3.357,St-Erme,Amifontaine
87171751,87171769,3.775,St-Erme,Coucy-lès-Eppes
87171769,87171751,3.775,Coucy-lès-Eppes,St-Erme
87171769,87296012,5.967,Coucy-lès-Eppes,Laon
87171926,87147322,24.0,Champagne-Ardenne-TGV,Meuse-TGV
87172007,87172023,4.0,Charleville-Mézières,Nouzonville
87172007,87172155,1.007,Charleville-Mézières,Mohon
87172023,87172007,4.0,Nouzonville,Charleville-Mézières
87172023,87172031,2.053,Nouzonville,Joigny-sur-Meuse
87172031,87172023,2.053,Joigny-sur-Meuse,Nouzonville
87172031,87172049,2.435,Joigny-sur-Meuse,Bogny-sur-Meuse
87172049,87172031,2.435,Bogny-sur-Meuse,Joigny-sur-Meuse
87172049,87172056,1.023,Bogny-sur-Meuse,Monthermé
87172056,87172049,1.023,Monthermé,Bogny-sur-Meuse
87172056,87172064,1.953,Monthermé,Deville
87172064,87172056,1.953,Deville,Monthermé
87172064,87172072,2.346,Deville,Laifour
87172072,87172064,2.346,Laifour,Deville
87172072,87172858,2.072,Laifour,Anchamps
87172080,87172098,4.106,Revin,Fumay
87172080,87172858,2.072,Revin,Anchamps
87172098,87172080,4.106,Fumay,Revin
87172098,87172106,1.821,Fumay,Haybes
87172106,87172098,1.821,Haybes,Fumay
87172106,87172874,1.467,Haybes,Fépin
87172114,87172122,2.172,Vireux-Molhain,Aubrives
87172114,87172874,3.752,Vireux-Molhain,Fépin
87172122,87172114,2.172,Aubrives,Vireux-Molhain
87172122,87172130,3.401,Aubrives,Givet
87172130,87172122,3.401,Givet,Aubrives
87172155,87172007,1.007,Mohon,Charleville-Mézières
87172155,87172171,7.871,Mohon,Poix-Terron
87172171,87172155,7.871,Poix-Terron,Mohon
87172171,87172262,13.0,Poix-Terron,Amagne-Lucquy
87172189,87172213,2.395,Lumes,Nouvion-sur-Meuse
87172213,87172189,2.395,Nouvion-sur-Meuse,Lumes
87172213,87172221,1.928,Nouvion-sur-Meuse,Vrigne-Meuse
87172221,87172213,1.928,Vrigne-Meuse,Nouvion-sur-Meuse
87172221,87172239,1.255,Vrigne-Meuse,Donchery
87172239,87172221,1.255,Donchery,Vrigne-Meuse
87172239,87172254,2.428,Donchery,Sedan
87172254,87172239,2.428,Sedan,Donchery
87172254,87172353,11.992,Sedan,Carignan
87172262,87172171,13.0,Amagne-Lucquy,Poix-Terron
87172262,87172270,4.333,Amagne-Lucquy,Rethel
87172270,87171462,11.0,Rethel,Bazancourt
87172270,87172262,4.333,Rethel,Amagne-Lucquy
87172353,87172254,11.992,Carignan,Sedan
87172353,87194209,14.577,Carignan,Montmédy
87172544,87295063,14.974,Liart,Hirson
87172858,87172072,2.072,Anchamps,Laifour
87172858,87172080,2.072,Anchamps,Revin
87172874,87172106,1.467,Fépin,Haybes
87172874,87172114,3.752,Fépin,Vireux-Molhain
87174003,87171553,14.0,Châlons-en-Champagne,Epernay
87174003,87174276,15.0,Châlons-en-Champagne,Vitry-le-François
87174276,87174003,15.0,Vitry-le-François,Châlons-en-Champagne
87174276,87175018,15.0,Vitry-le-François,Revigny
87174409,87171645,3.048,Mourmelon-le-Petit,Sept-Saulx
87175000,87175117,10.477,St-Dizier,Chevillon
87175018,87174276,14.0,Revigny,Vitry-le-François
87175018,87175042,8.0,Revigny,Bar-le-Duc
87175042,87175018,8.0,Bar-le-Duc,Revigny
87175042,87175067,6.0,Bar-le-Duc,Nançois-Tronville
87175067,87175042,6.0,Nançois-Tronville,Bar-le-Duc
87175067,87175240,12.0,Nançois-Tronville,Lérouville
87175091,87142273,4.975,Joinville,Donjeux
87175091,87175117,5.488,Joinville,Chevillon
87175117,87175000,10.477,Chevillon,St-Dizier
87175117,87175091,5.488,Chevillon,Joinville
87175240,87175067,11.0,Lérouville,Nançois-Tronville
87175240,87175257,2.887,Lérouville,Commercy
87175257,87175240,2.887,Commercy,Lérouville
87175257,87175828,7.0,Commercy,Pagny-sur-Meuse
87175778,87175794,11.893,Verdun,Étain
87175794,87175778,11.893,Étain,Verdun
87175794,87192666,10.276,Étain,Conflans-Jarny
87175828,87141036,2.591,Pagny-sur-Meuse,Foug
87175828,87141291,25.166,Pagny-sur-Meuse,Neufchâteau
87175828,87175257,7.0,Pagny-sur-Meuse,Commercy
87181016,87182113,2.346,St-Louis-la-Chaussée,Bartenheim
